,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
44,BLZ,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Belize,2012,Sex,44.5 [40.9-48.3],84,0,44.5,40.9,48.3
45,BLZ,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Belize,2012,Sex,25.9 [22.5-29.3],84,1,25.9,22.5,29.3
46,BMU,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bermuda,2012,Sex,34.1 [21.9-47.3],60,0,34.1,21.9,47.3
47,BMU,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bermuda,2012,Sex,18.3 [9.7-29.4],60,1,18.3,9.7,29.4
48,BOL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bolivia (Plurinational State of),2012,Sex,25.5 [22.9-28.1],68,0,25.5,22.9,28.1
49,BOL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bolivia (Plurinational State of),2012,Sex,15.3 [11.7-19.3],68,1,15.3,11.7,19.3
50,BRA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Brazil,2012,Sex,22.2 [21.0-23.4],76,0,22.2,21.0,23.4
51,BRA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Brazil,2012,Sex,15.7 [14.6-16.9],76,1,15.7,14.6,16.9
52,BRB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Barbados,2012,Sex,39.9 [35.4-44.5],52,0,39.9,35.4,44.5
53,BRB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Barbados,2012,Sex,20.8 [17.0-24.8],52,1,20.8,17.0,24.8
54,BRN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Brunei Darussalam,2012,Sex,24.8 [21.8-28.1],96,0,24.8,21.8,28.1
55,BRN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Brunei Darussalam,2012,Sex,21.8 [18.7-25.2],96,1,21.8,18.7,25.2
56,BTN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bhutan,2012,Sex,9.1 [7.4-11.0],64,0,9.1,7.4,11.0
57,BTN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Bhutan,2012,Sex,5.4 [4.1-6.8],64,1,5.4,4.1,6.8
58,BWA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Botswana,2012,Sex,22.4 [19.8-25.1],72,0,22.4,19.8,25.1
59,BWA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Botswana,2012,Sex,6.0 [4.6-7.6],72,1,6.0,4.6,7.6
60,CAF,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Central African Republic,2012,Sex,8.0 [6.1-10.2],140,0,8.0,6.1,10.2
61,CAF,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Central African Republic,2012,Sex,3.7 [2.7-5.0],140,1,3.7,2.7,5.0
62,CAN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Canada,2012,Sex,23.9 [22.4-25.3],124,0,23.9,22.4,25.3
63,CAN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Canada,2012,Sex,25.4 [23.9-27.0],124,1,25.4,23.9,27.0
