,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
60,CHE,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Switzerland,2012,Sex,24.2 [13.8-36.7],756,0,24.2,13.8,36.7
61,CHE,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Switzerland,2012,Sex,21.3 [12.3-31.9],756,1,21.3,12.3,31.9
62,CHL,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Chile,2012,Sex,35.3 [26.4-44.8],152,0,35.3,26.4,44.8
63,CHL,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Chile,2012,Sex,25.6 [18.9-33.2],152,1,25.6,18.9,33.2
64,CHN,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),China,2012,Sex,18.9 [15.0-23.3],156,0,18.9,15.0,23.3
65,CHN,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),China,2012,Sex,23.9 [19.5-28.8],156,1,23.9,19.5,28.8
66,CIV,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cote d'Ivoire,2012,Sex,26.2 [11.6-44.6],384,0,26.2,11.6,44.6
67,CIV,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cote d'Ivoire,2012,Sex,17.4 [8.1-29.5],384,1,17.4,8.1,29.5
68,CMR,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cameroon,2012,Sex,23.3 [7.0-47.7],120,0,23.3,7.0,47.7
69,CMR,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cameroon,2012,Sex,18.6 [6.7-38.0],120,1,18.6,6.7,38.0
70,COD,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Democratic Republic of the Congo,2012,Sex,18.2 [4.4-40.0],180,0,18.2,4.4,40.0
71,COD,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Democratic Republic of the Congo,2012,Sex,13.6 [4.5-30.2],180,1,13.6,4.5,30.2
72,COG,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Congo,2012,Sex,21.8 [5.8-46.8],178,0,21.8,5.8,46.8
73,COG,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Congo,2012,Sex,14.3 [4.6-31.3],178,1,14.3,4.6,31.3
74,COK,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cook Islands,2012,Sex,45.0 [36.0-54.4],184,0,45.0,36.0,54.4
75,COK,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cook Islands,2012,Sex,31.4 [23.8-39.5],184,1,31.4,23.8,39.5
76,COL,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Colombia,2012,Sex,35.6 [12.7-64.2],170,0,35.6,12.7,64.2
77,COL,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Colombia,2012,Sex,25.1 [9.7-48.3],170,1,25.1,9.7,48.3
78,COM,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Comoros,2012,Sex,17.3 [10.0-26.9],174,0,17.3,10.0,26.9
79,COM,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Comoros,2012,Sex,8.5 [4.6-13.7],174,1,8.5,4.6,13.7
80,CPV,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cabo Verde,2012,Sex,33.1 [23.4-43.8],132,0,33.1,23.4,43.8
81,CPV,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cabo Verde,2012,Sex,19.6 [13.0-27.2],132,1,19.6,13.0,27.2
82,CRI,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Costa Rica,2012,Sex,54.1 [43.0-65.0],188,0,54.1,43.0,65.0
83,CRI,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Costa Rica,2012,Sex,38.3 [28.8-48.0],188,1,38.3,28.8,48.0
84,CUB,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cuba,2012,Sex,58.2 [46.5-69.4],192,0,58.2,46.5,69.4
85,CUB,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cuba,2012,Sex,38.3 [28.8-48.4],192,1,38.3,28.8,48.4
86,CYP,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Cyprus,2012,Sex,48.0 [38.6-57.9],196,0,48.0,38.6,57.9
