,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
175,GRC,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Greece,2010,Sex,34.4 [28.0-40.8],300,0,34.4,28.0,40.8
176,GRC,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Greece,2010,Sex,48.3 [39.5-57.1],300,1,48.3,39.5,57.1
177,GTM,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guatemala,2010,Sex,12.8 [9.5-16.1],320,0,12.8,9.5,16.1
178,GTM,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guatemala,2010,Sex,2.5 [1.5-3.4],320,0,2.5,1.5,3.4
179,GTM,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guatemala,2010,Sex,23.1 [17.4-28.8],320,1,23.1,17.4,28.8
180,GUY,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guyana,2010,Sex,19.7 [15.7-23.7],328,0,19.7,15.7,23.7
181,GUY,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guyana,2010,Sex,3.7 [2.8-4.6],328,0,3.7,2.8,4.6
182,GUY,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Guyana,2010,Sex,35.7 [28.6-42.8],328,1,35.7,28.6,42.8
183,HND,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Honduras,2010,Sex,14.5 [10.5-18.5],340,0,14.5,10.5,18.5
184,HND,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Honduras,2010,Sex,2.3 [1.7-2.9],340,0,2.3,1.7,2.9
185,HND,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Honduras,2010,Sex,26.7 [19.4-34.1],340,1,26.7,19.4,34.1
186,HRV,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Croatia,2010,Sex,34.8 [28.5-41.1],191,0,34.8,28.5,41.1
187,HRV,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Croatia,2010,Sex,30.1 [25.2-35.1],191,0,30.1,25.2,35.1
188,HRV,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Croatia,2010,Sex,39.4 [31.8-47.1],191,1,39.4,31.8,47.1
189,HTI,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Haiti,2010,Sex,9.7 [7.3-12.1],332,0,9.7,7.3,12.1
190,HTI,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Haiti,2010,Sex,3.9 [2.9-5.0],332,0,3.9,2.9,5.0
191,HTI,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Haiti,2010,Sex,15.5 [11.7-19.2],332,1,15.5,11.7,19.2
192,HUN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Hungary,2010,Sex,34.9 [28.7-41.0],348,0,34.9,28.7,41.0
193,HUN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Hungary,2010,Sex,30.2 [25.0-35.3],348,0,30.2,25.0,35.3
194,HUN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Hungary,2010,Sex,39.6 [32.5-46.7],348,1,39.6,32.5,46.7
195,IDN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Indonesia,2010,Sex,31.2 [26.1-36.3],360,0,31.2,26.1,36.3
196,IDN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Indonesia,2010,Sex,2.4 [2.0-2.8],360,0,2.4,2.0,2.8
197,IDN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Indonesia,2010,Sex,60.0 [50.3-69.8],360,1,60.0,50.3,69.8
198,IND,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),India,2010,Sex,14.5 [11.8-17.3],356,0,14.5,11.8,17.3
199,IND,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),India,2010,Sex,3.3 [2.6-4.0],356,0,3.3,2.6,4.0
200,IND,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),India,2010,Sex,25.8 [20.9-30.6],356,1,25.8,20.9,30.6
201,IRL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ireland,2010,Sex,27.0 [21.7-32.3],372,0,27.0,21.7,32.3
202,IRL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ireland,2010,Sex,25.4 [20.7-30.0],372,0,25.4,20.7,30.0
203,IRL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Ireland,2010,Sex,28.7 [22.7-34.6],372,1,28.7,22.7,34.6
204,IRN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iran (Islamic Republic of),2010,Sex,12.3 [9.9-14.8],364,0,12.3,9.9,14.8
205,IRN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iran (Islamic Republic of),2010,Sex,1.7 [1.2-2.2],364,0,1.7,1.2,2.2
206,IRN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iran (Islamic Republic of),2010,Sex,23.0 [18.5-27.4],364,1,23.0,18.5,27.4
207,IRQ,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iraq,2010,Sex,21.1 [16.5-25.7],368,0,21.1,16.5,25.7
208,IRQ,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iraq,2010,Sex,3.8 [2.8-4.7],368,0,3.8,2.8,4.7
209,IRQ,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iraq,2010,Sex,38.4 [30.1-46.8],368,1,38.4,30.1,46.8
210,ISL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iceland,2010,Sex,18.6 [15.7-21.5],352,0,18.6,15.7,21.5
211,ISL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iceland,2010,Sex,18.0 [15.0-20.9],352,0,18.0,15.0,20.9
212,ISL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Iceland,2010,Sex,19.2 [16.3-22.1],352,1,19.2,16.3,22.1
213,ISR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Israel,2010,Sex,25.9 [21.0-30.9],376,0,25.9,21.0,30.9
214,ISR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Israel,2010,Sex,18.1 [15.1-21.1],376,0,18.1,15.1,21.1
215,ISR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Israel,2010,Sex,33.8 [26.8-40.7],376,1,33.8,26.8,40.7
216,ITA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Italy,2010,Sex,24.4 [20.6-28.2],380,0,24.4,20.6,28.2
217,ITA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Italy,2010,Sex,19.1 [16.3-22.0],380,0,19.1,16.3,22.0
218,ITA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Italy,2010,Sex,29.6 [24.8-34.4],380,1,29.6,24.8,34.4
219,JAM,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Jamaica,2010,Sex,15.1 [10.2-19.9],388,0,15.1,10.2,19.9
220,JAM,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Jamaica,2010,Sex,6.7 [4.5-8.9],388,0,6.7,4.5,8.9
221,JAM,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Jamaica,2010,Sex,23.4 [16.0-30.8],388,1,23.4,16.0,30.8
222,JOR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Jordan,2010,Sex,32.9 [26.5-39.4],400,0,32.9,26.5,39.4
223,JOR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Jordan,2010,Sex,11.9 [9.3-14.5],400,0,11.9,9.3,14.5
224,JOR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Jordan,2010,Sex,54.0 [43.7-64.2],400,1,54.0,43.7,64.2
225,JPN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Japan,2010,Sex,25.5 [21.4-29.7],392,0,25.5,21.4,29.7
226,JPN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Japan,2010,Sex,11.9 [10.0-13.8],392,0,11.9,10.0,13.8
227,JPN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Japan,2010,Sex,39.2 [32.8-45.5],392,1,39.2,32.8,45.5
228,KAZ,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kazakhstan,2010,Sex,27.2 [22.7-31.6],398,0,27.2,22.7,31.6
229,KAZ,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kazakhstan,2010,Sex,8.1 [6.8-9.4],398,0,8.1,6.8,9.4
230,KAZ,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kazakhstan,2010,Sex,46.2 [38.7-53.7],398,1,46.2,38.7,53.7
231,KEN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kenya,2010,Sex,12.3 [10.0-14.5],404,0,12.3,10.0,14.5
232,KEN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kenya,2010,Sex,1.5 [1.1-2.0],404,0,1.5,1.1,2.0
233,KEN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kenya,2010,Sex,23.0 [18.9-27.0],404,1,23.0,18.9,27.0
234,KGZ,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kyrgyzstan,2010,Sex,22.6 [18.3-26.8],417,0,22.6,18.3,26.8
235,KGZ,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kyrgyzstan,2010,Sex,2.7 [2.2-3.2],417,0,2.7,2.2,3.2
236,KGZ,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kyrgyzstan,2010,Sex,42.4 [34.5-50.4],417,1,42.4,34.5,50.4
237,KHM,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cambodia,2010,Sex,22.5 [18.7-26.3],116,0,22.5,18.7,26.3
238,KHM,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cambodia,2010,Sex,4.0 [3.4-4.7],116,0,4.0,3.4,4.7
239,KHM,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Cambodia,2010,Sex,41.1 [34.1-48.0],116,1,41.1,34.1,48.0
240,KIR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kiribati,2010,Sex,53.4 [40.9-65.9],296,0,53.4,40.9,65.9
241,KIR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kiribati,2010,Sex,38.9 [28.9-48.8],296,0,38.9,28.9,48.8
242,KIR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kiribati,2010,Sex,67.9 [52.8-82.9],296,1,67.9,52.8,82.9
243,KOR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Republic of Korea,2010,Sex,27.0 [22.4-31.6],410,0,27.0,22.4,31.6
244,KOR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Republic of Korea,2010,Sex,6.7 [5.5-7.9],410,0,6.7,5.5,7.9
245,KOR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Republic of Korea,2010,Sex,47.3 [39.4-55.3],410,1,47.3,39.4,55.3
246,KWT,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kuwait,2010,Sex,20.0 [15.7-24.3],414,0,20.0,15.7,24.3
247,KWT,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kuwait,2010,Sex,3.3 [2.5-4.2],414,0,3.3,2.5,4.2
248,KWT,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Kuwait,2010,Sex,36.6 [28.9-44.4],414,1,36.6,28.9,44.4
249,LAO,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lao People's Democratic Republic,2010,Sex,34.1 [27.6-40.5],418,0,34.1,27.6,40.5
250,LAO,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lao People's Democratic Republic,2010,Sex,10.7 [8.3-13.1],418,0,10.7,8.3,13.1
251,LAO,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lao People's Democratic Republic,2010,Sex,57.5 [47.0-68.0],418,1,57.5,47.0,68.0
252,LBN,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lebanon,2010,Sex,38.9 [31.2-46.5],422,0,38.9,31.2,46.5
253,LBN,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lebanon,2010,Sex,33.0 [25.9-40.1],422,0,33.0,25.9,40.1
254,LBN,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lebanon,2010,Sex,44.8 [36.6-52.9],422,1,44.8,36.6,52.9
255,LBR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Liberia,2010,Sex,9.5 [6.9-12.0],430,0,9.5,6.9,12.0
256,LBR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Liberia,2010,Sex,2.0 [1.3-2.7],430,0,2.0,1.3,2.7
257,LBR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Liberia,2010,Sex,16.9 [12.4-21.4],430,1,16.9,12.4,21.4
258,LBY,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Libya,2010,Sex,27.6 [21.1-34.2],434,0,27.6,21.1,34.2
259,LBY,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Libya,2010,Sex,0.2 [0.1-0.4],434,0,0.2,0.1,0.4
260,LBY,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Libya,2010,Sex,55.0 [42.1-68.0],434,1,55.0,42.1,68.0
261,LCA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Saint Lucia,2010,Sex,16.9 [11.9-22.0],662,0,16.9,11.9,22.0
262,LCA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Saint Lucia,2010,Sex,4.8 [3.2-6.4],662,0,4.8,3.2,6.4
263,LCA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Saint Lucia,2010,Sex,29.1 [20.6-37.5],662,1,29.1,20.6,37.5
264,LKA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Sri Lanka,2010,Sex,15.4 [12.5-18.2],144,0,15.4,12.5,18.2
265,LKA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Sri Lanka,2010,Sex,0.9 [0.7-1.2],144,0,0.9,0.7,1.2
266,LKA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Sri Lanka,2010,Sex,29.8 [24.3-35.3],144,1,29.8,24.3,35.3
267,LSO,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lesotho,2010,Sex,20.8 [16.7-24.8],426,0,20.8,16.7,24.8
268,LSO,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lesotho,2010,Sex,0.7 [0.4-1.0],426,0,0.7,0.4,1.0
269,LSO,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lesotho,2010,Sex,40.8 [32.9-48.7],426,1,40.8,32.9,48.7
270,LTU,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lithuania,2010,Sex,31.5 [26.2-36.8],440,0,31.5,26.2,36.8
271,LTU,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lithuania,2010,Sex,19.8 [16.3-23.3],440,0,19.8,16.3,23.3
272,LTU,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Lithuania,2010,Sex,43.3 [36.2-50.4],440,1,43.3,36.2,50.4
273,LUX,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Luxembourg,2010,Sex,26.3 [21.5-31.0],442,0,26.3,21.5,31.0
274,LUX,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Luxembourg,2010,Sex,23.0 [19.0-27.1],442,0,23.0,19.0,27.1
275,LUX,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Luxembourg,2010,Sex,29.5 [24.1-35.0],442,1,29.5,24.1,35.0
276,LVA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Latvia,2010,Sex,36.6 [30.5-42.6],428,0,36.6,30.5,42.6
277,LVA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Latvia,2010,Sex,22.7 [18.8-26.5],428,0,22.7,18.8,26.5
278,LVA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Latvia,2010,Sex,50.4 [42.2-58.7],428,1,50.4,42.2,58.7
279,MAR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Morocco,2010,Sex,16.4 [13.0-19.7],504,0,16.4,13.0,19.7
280,MAR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Morocco,2010,Sex,1.8 [1.2-2.4],504,0,1.8,1.2,2.4
281,MAR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Morocco,2010,Sex,31.0 [24.8-37.1],504,1,31.0,24.8,37.1
282,MDA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Republic of Moldova,2010,Sex,25.5 [21.3-29.6],498,0,25.5,21.3,29.6
283,MDA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Republic of Moldova,2010,Sex,5.8 [4.7-6.9],498,0,5.8,4.7,6.9
284,MDA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Republic of Moldova,2010,Sex,45.2 [37.9-52.4],498,1,45.2,37.9,52.4
285,MDG,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Madagascar,2010,Sex,18.5 [14.3-22.7],450,0,18.5,14.3,22.7
286,MDG,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Madagascar,2010,Sex,2.0 [1.4-2.5],450,0,2.0,1.4,2.5
287,MDG,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Madagascar,2010,Sex,35.1 [27.2-42.9],450,1,35.1,27.2,42.9
288,MDV,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Maldives,2010,Sex,29.4 [23.1-35.8],462,0,29.4,23.1,35.8
289,MDV,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Maldives,2010,Sex,8.0 [5.5-10.5],462,0,8.0,5.5,10.5
290,MDV,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Maldives,2010,Sex,50.9 [40.7-61.1],462,1,50.9,40.7,61.1
291,MEX,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mexico,2010,Sex,18.7 [15.8-21.7],484,0,18.7,15.8,21.7
292,MEX,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mexico,2010,Sex,9.6 [8.2-11.0],484,0,9.6,8.2,11.0
293,MEX,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mexico,2010,Sex,27.9 [23.3-32.4],484,1,27.9,23.3,32.4
294,MHL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Marshall Islands,2010,Sex,22.4 [17.1-27.7],584,0,22.4,17.1,27.7
295,MHL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Marshall Islands,2010,Sex,5.0 [3.8-6.3],584,0,5.0,3.8,6.3
296,MHL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Marshall Islands,2010,Sex,39.7 [30.4-49.1],584,1,39.7,30.4,49.1
297,MKD,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),North Macedonia,2010,Sex,40.2 [28.7-51.8],807,0,40.2,28.7,51.8
298,MKD,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),North Macedonia,2010,Sex,31.6 [23.2-40.0],807,0,31.6,23.2,40.0
299,MKD,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),North Macedonia,2010,Sex,48.9 [34.1-63.7],807,1,48.9,34.1,63.7
300,MLI,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mali,2010,Sex,9.2 [7.5-10.8],466,0,9.2,7.5,10.8
301,MLI,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mali,2010,Sex,1.1 [0.7-1.4],466,0,1.1,0.7,1.4
302,MLI,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mali,2010,Sex,17.3 [14.3-20.2],466,1,17.3,14.3,20.2
303,MLT,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malta,2010,Sex,28.7 [23.4-34.0],470,0,28.7,23.4,34.0
304,MLT,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malta,2010,Sex,23.7 [19.6-27.8],470,0,23.7,19.6,27.8
305,MLT,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malta,2010,Sex,33.7 [27.2-40.2],470,1,33.7,27.2,40.2
306,MMR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Myanmar,2010,Sex,28.6 [22.9-34.4],104,0,28.6,22.9,34.4
307,MMR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Myanmar,2010,Sex,9.4 [7.3-11.5],104,0,9.4,7.3,11.5
308,MMR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Myanmar,2010,Sex,47.8 [38.4-57.2],104,1,47.8,38.4,57.2
309,MNE,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Montenegro,2010,Sex,36.6 [24.6-48.5],499,0,36.6,24.6,48.5
310,MNE,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Montenegro,2010,Sex,33.2 [21.5-44.9],499,0,33.2,21.5,44.9
311,MNE,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Montenegro,2010,Sex,39.9 [27.6-52.2],499,1,39.9,27.6,52.2
312,MNG,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mongolia,2010,Sex,29.5 [24.4-34.6],496,0,29.5,24.4,34.6
313,MNG,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mongolia,2010,Sex,7.3 [5.9-8.7],496,0,7.3,5.9,8.7
314,MNG,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mongolia,2010,Sex,51.7 [43.0-60.5],496,1,51.7,43.0,60.5
315,MOZ,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mozambique,2010,Sex,26.4 [20.7-32.1],508,0,26.4,20.7,32.1
316,MOZ,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mozambique,2010,Sex,5.0 [3.4-6.6],508,0,5.0,3.4,6.6
317,MOZ,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mozambique,2010,Sex,47.8 [38.0-57.5],508,1,47.8,38.0,57.5
318,MRT,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mauritania,2010,Sex,11.6 [8.9-14.4],478,0,11.6,8.9,14.4
319,MRT,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mauritania,2010,Sex,3.1 [2.0-4.1],478,0,3.1,2.0,4.1
320,MRT,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mauritania,2010,Sex,20.2 [15.7-24.8],478,1,20.2,15.7,24.8
321,MUS,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mauritius,2010,Sex,22.5 [18.2-26.7],480,0,22.5,18.2,26.7
322,MUS,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mauritius,2010,Sex,3.8 [3.0-4.7],480,0,3.8,3.0,4.7
323,MUS,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Mauritius,2010,Sex,41.1 [33.4-48.7],480,1,41.1,33.4,48.7
324,MWI,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malawi,2010,Sex,13.9 [10.9-16.9],454,0,13.9,10.9,16.9
325,MWI,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malawi,2010,Sex,4.0 [2.4-5.5],454,0,4.0,2.4,5.5
326,MWI,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malawi,2010,Sex,23.9 [19.5-28.2],454,1,23.9,19.5,28.2
327,MYS,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malaysia,2010,Sex,21.6 [16.7-26.6],458,0,21.6,16.7,26.6
328,MYS,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malaysia,2010,Sex,1.3 [1.0-1.6],458,0,1.3,1.0,1.6
329,MYS,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Malaysia,2010,Sex,42.0 [32.3-51.7],458,1,42.0,32.3,51.7
330,NER,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Niger,2010,Sex,6.5 [4.6-8.4],562,0,6.5,4.6,8.4
331,NER,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Niger,2010,Sex,0.8 [0.4-1.2],562,0,0.8,0.4,1.2
332,NER,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Niger,2010,Sex,12.3 [8.9-15.6],562,1,12.3,8.9,15.6
333,NGA,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nigeria,2010,Sex,4.8 [3.6-6.0],566,0,4.8,3.6,6.0
334,NGA,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nigeria,2010,Sex,0.5 [0.3-0.7],566,0,0.5,0.3,0.7
335,NGA,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nigeria,2010,Sex,9.0 [6.9-11.2],566,1,9.0,6.9,11.2
336,NLD,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Netherlands (Kingdom of the),2010,Sex,27.8 [23.5-32.2],528,0,27.8,23.5,32.2
337,NLD,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Netherlands (Kingdom of the),2010,Sex,25.1 [21.3-29.0],528,0,25.1,21.3,29.0
338,NLD,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Netherlands (Kingdom of the),2010,Sex,30.5 [25.7-35.4],528,1,30.5,25.7,35.4
339,NOR,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Norway,2010,Sex,26.8 [22.8-30.9],578,0,26.8,22.8,30.9
340,NOR,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Norway,2010,Sex,25.7 [21.8-29.6],578,0,25.7,21.8,29.6
341,NOR,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Norway,2010,Sex,28.0 [23.8-32.2],578,1,28.0,23.8,32.2
342,NPL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nepal,2010,Sex,27.5 [22.8-32.1],524,0,27.5,22.8,32.1
343,NPL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nepal,2010,Sex,17.8 [14.0-21.5],524,0,17.8,14.0,21.5
344,NPL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nepal,2010,Sex,37.1 [31.5-42.7],524,1,37.1,31.5,42.7
345,NRU,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nauru,2010,Sex,46.1 [35.6-56.5],520,0,46.1,35.6,56.5
346,NRU,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nauru,2010,Sex,51.0 [39.3-62.8],520,0,51.0,39.3,62.8
347,NRU,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),Nauru,2010,Sex,41.1 [32.0-50.2],520,1,41.1,32.0,50.2
348,NZL,Both sexes,Estimate of current tobacco smoking prevalence (%) (age-standardized),New Zealand,2010,Sex,18.3 [14.9-21.7],554,0,18.3,14.9,21.7
349,NZL,Female,Estimate of current tobacco smoking prevalence (%) (age-standardized),New Zealand,2010,Sex,17.2 [14.1-20.4],554,0,17.2,14.1,20.4
350,NZL,Male,Estimate of current tobacco smoking prevalence (%) (age-standardized),New Zealand,2010,Sex,19.3 [15.7-23.0],554,1,19.3,15.7,23.0
